Location,Date,Time
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 48 33 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 48 48 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 49 04 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 49 16 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 49 31 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 49 43 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 49 57 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 50 10 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 50 22 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 50 34 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 50 47 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 50 59 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 51 12 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 51 25 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 51 41 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 51 54 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 52 07 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 52 21 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 52 38 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 52 51 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 53 03 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 53 15 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 53 28 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 53 41 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 53 53 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 54 06 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 54 19 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 54 32 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 54 45 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 54 58 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 55 13 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 55 28 PM
"43°46'13.5""N 79°18'14.8""W",10 27 2021,8 55 41 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 55 53 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 56 09 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 56 29 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 56 41 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 56 54 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 57 06 PM
